objID,l,b,ra,dec,psfMag_u,psfMag_r,psfMag_i,psfMag_g,psfMag_z,psfMagErr_u,psfMagErr_r,psfMagErr_i,psfMagErr_g,psfMagErr_z,extinction_u,extinction_r,extinction_i,extinction_g,extinction_z
1237666433115031233,84.0198766323352,-29.9997930571508,336.988221045415,21.8229973335625,24.32412,23.31247,21.99086,25.23775,21.37963,0.7376449,0.252854,0.1270684,0.4620989,0.2802598,0.2144252,0.1155842,0.08589149,0.1670787,0.06388748
1237656494561689742,65.4504618290055,-29.9997918293689,324.849024434035,10.7395442977074,17.50902,15.44734,15.23702,15.97001,15.19114,0.01767372,0.01326016,0.009523951,0.01325304,0.01700004,0.2431178,0.1310508,0.09738477,0.1894358,0.07243638
1237656241157112348,65.8202674281137,-29.9997916467391,325.059984055388,10.9837647836567,22.50292,18.75404,18.19546,20.02577,17.82574,0.2152643,0.01440168,0.0185955,0.01898086,0.02281968,0.2983002,0.1607964,0.119489,0.2324335,0.08887785
1237680298881450538,81.086998215428,-29.9997864797359,334.84807539098,20.2540879174642,23.49829,19.52301,18.43967,20.84641,17.88064,0.6562762,0.02263275,0.01965825,0.03311435,0.03064519,0.2660347,0.1434039,0.1065645,0.2072924,0.07926439
1237666435264087060,88.5719981025273,-29.9997844853512,340.48617055783,24.0963444256349,23.86628,22.2999,21.19912,23.35353,20.6505,0.650508,0.127602,0.07856369,0.1698851,0.1665589,0.2234541,0.1204512,0.08950817,0.1741139,0.06657764
1237680273110926344,81.3154002739662,-29.9997824673416,335.01158344597,20.3790429938358,23.56225,22.77211,21.68457,23.08117,20.70619,1.03729,0.3019061,0.1710584,0.2351248,0.2400359,0.3330821,0.1795453,0.1334214,0.2595353,0.09924102
1237666434189557908,86.2623506303784,-29.9997798147258,338.684411195894,22.9684808202568,18.08662,15.46752,15.21521,16.16705,15.12983,0.0162476,0.01184174,0.02049659,0.01206111,0.01744774,0.1698851,0.09157527,0.06805024,0.1323733,0.05061688
1237656241694114824,66.2657428053822,-29.9997781761639,325.315628946404,11.2768818643752,24.92127,22.42849,20.91641,23.43584,20.20496,0.5911031,0.1056153,0.04630505,0.1838712,0.08556269,0.3558869,0.1918381,0.1425563,0.2773046,0.1060357
1237678600754496433,69.6660792905206,-29.9997775155613,327.323310841615,13.4736989369564,24.35898,20.95767,20.28097,22.20654,19.9587,1.175328,0.04695781,0.04390548,0.08659084,0.1098271,0.490721,0.2645194,0.1965662,0.3823665,0.1462092
1237680302105363560,91.3751543130432,-29.9997757172989,342.747727973373,25.3904671768023,24.44398,22.28338,22.25845,23.98497,21.0284,0.9738674,0.1552299,0.2327172,0.3553059,0.3158567,0.5546049,0.2989555,0.222156,0.4321444,0.1652432
1237656242231248358,67.2674996568532,-29.9997734082078,325.896687492107,11.9316112043081,22.95398,20.0806,19.53371,21.37525,19.21539,0.2880515,0.02042321,0.02263836,0.03632108,0.04797534,0.3490354,0.1881448,0.1398118,0.271966,0.1039943
