objID,ra,dec,l,b,psfMag_u,psfMag_r,psfMag_i,psfMag_g,psfMag_z,psfMagErr_u,psfMagErr_r,psfMagErr_i,psfMagErr_g,psfMagErr_z,extinction_u,extinction_r,extinction_i,extinction_g,extinction_z,specObjID,loggadop,loggadopunc,fehadop,fehadopunc,elodiervfinal,elodiervfinalerr,SNR
1237657189817581584,328.220313431896,-0.912216725085896,56.75792855406,-39.825024239336,18.15796,16.58017,16.47448,16.81367,16.40994,0.02096984,0.01456207,0.01632697,0.02397152,0.0173492,0.5968468,0.3217257,0.2390766,0.465059,0.1778291,417735288580761600,2.554794,0.3121123,-1.429472,0.07740242,-394.0862,2.774809,39.31699
1237663479256121456,327.234337440326,0.0701417153221203,57.0482698711711,-38.4515617760089,16.87502,15.96143,16.07161,15.87671,16.11513,0.01783451,0.01076889,0.01742156,0.0146644,0.02061146,0.6407663,0.3454001,0.2566693,0.4992808,0.1909148,417816652441217024,3.400887,0.4153801,-1.554235,0.604,-121.5237,1.703378,62.76465
1237663479256121668,327.257944119511,0.120057121752639,57.1176160117363,-38.4416050856102,21.71574,17.40275,16.73134,18.82132,16.32039,0.1447621,0.02035587,0.02103573,0.04060771,0.02266446,0.6134188,0.3306587,0.2457148,0.4779718,0.1827667,417815278051682304,3.346042,0.06146765,-0.6831195,0.0782482,54.33752,2.207995,29.73038
1237663479792926853,327.162738624909,0.505510467954409,57.4448236251047,-38.1388135523159,18.73213,17.48133,17.55377,17.3998,17.58335,0.0194246,0.01302991,0.01500406,0.0140206,0.01828636,0.6810002,0.3670879,0.2727857,0.5306308,0.2029024,417814728295868416,3.341346,0.2013899,-1.680321,0.0484,-207.8387,4.338417,32.11807
1237663543682269227,328.602963921555,0.387621325856649,58.414439046934,-39.3702139215102,18.7228,17.71988,17.84252,17.55721,17.93337,0.02476563,0.01718814,0.01850911,0.01315426,0.02807442,0.3297274,0.177737,0.1320776,0.2569214,0.09824151,417869978755164160,3.470241,0.279342,-1.834313,0.0396,-275.3728,4.812044,31.41133
1237678595929341970,328.744776554557,1.13766741086721,59.2989180796362,-39.0341912984937,16.64527,15.89401,16.08772,15.71925,16.21579,0.0234498,0.01548006,0.01674468,0.01658377,0.02168748,0.2434207,0.1312141,0.09750611,0.1896718,0.07252663,417876300947023872,3.32544,0.528108,-2.114097,0.0406,-139.1451,1.65897,64.40732
1237666430428777683,306.621776960093,14.449698152992,57.2229714549701,-13.5024371191711,20.64357,19.29575,19.17079,19.80589,19.25857,0.05407584,0.01836559,0.05879315,0.01927739,0.06254377,0.519489,0.2800265,0.2080897,0.4047823,0.1547805,2541302385389627392,2.973433,0.3754962,-1.353424,0.06899972,-370.9559,11.34525,11.27005
1237666430428908156,306.853158606298,14.5014091511509,57.3935512804097,-13.6617280325014,20.21258,18.83981,18.777,19.06135,18.76061,0.04245864,0.03430248,0.0334131,0.01061158,0.04890994,0.422967,0.2279971,0.1694263,0.329573,0.126022,2541314754895439872,3.268597,0.1158025,-0.6748392,0.04145336,-211.0709,5.063186,18.08637
1237666430429105482,307.302125745418,14.7940142490297,57.8909324843894,-13.8639988122658,20.67377,19.53125,19.34743,19.94145,19.42369,0.05628713,0.01459716,0.05718033,0.01906542,0.06966878,0.3417166,0.1841997,0.1368801,0.2662633,0.1018137,2541321901721020416,3.04126,0.02876997,-2.058407,0.05207095,-153.0099,10.76015,11.41895
1237666430429497417,308.126758842914,15.0762096597797,58.5881711112128,-14.371215605212,19.90381,18.68148,18.57921,19.0038,18.54057,0.0353753,0.08151895,0.01067031,0.01708916,0.03432063,0.3918679,0.2112334,0.156969,0.3053408,0.1167561,2542377444896172032,3.326043,0.096471,-1.638317,0.04782175,-168.6883,4.864358,27.39754
